TP2,ECH,PER,NDEP,T1,T2,T3,T4,T5,T6,T7,T8,T8B,T8C,T9,T10,T11,TOIS,TDIS,TDIP,TDMO,TDMD,menage_id_constr,person_id_constr,deplacement_id_constr,household_id,person_id,trip_id,trajet_id_constr,trajet_id
1010,0020,01,01,1,10,42,1010,9750,0,,,,,,,,206309,309464,21022,667,0,10100020,1010002001,101000200101,0,0,0,1010002001011,0
1010,0020,01,04,1,0,42,9750,1015,15,,,,,,,,206601,309901,20500,0,1000,10100020,1010002001,101000200104,0,0,3,1010002001041,1
1010,0055,01,01,1,1,21,1010,9620,0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,43344,53361,15520,67,0,10100055,1010005501,101000550101,1,1,5,1010005501011,2
1010,0055,01,02,1,0,21,9620,9620,0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,955,1719,0,0,0,10100055,1010005501,101000550102,1,1,6,1010005501021,3
1010,0055,01,03,1,0,21,9620,9620,0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,955,1719,0,0,0,10100055,1010005501,101000550103,1,1,7,1010005501031,4
1010,0055,01,04,1,0,21,9620,9620,0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,955,1719,0,0,0,10100055,1010005501,101000550104,1,1,8,1010005501041,5
1010,0055,01,05,1,0,21,9620,1010,2,1.0,1.0,0.0,0.0,2.0,3.0,5.0,43344,54103,15997,0,133,10100055,1010005501,101000550105,1,1,9,1010005501051,6
1010,0055,01,06,1,2,21,1010,1410,0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,7663,10430,10430,133,0,10100055,1010005501,101000550106,1,1,10,1010005501061,7
1010,0055,01,07,1,0,21,1410,1010,3,1.0,1.0,0.0,0.0,2.0,2.0,5.0,7663,9286,9286,0,200,10100055,1010005501,101000550107,1,1,11,1010005501071,8
1010,0055,02,01,1,5,33,1025,1125,5,,,,,,,,3448,5172,5172,333,333,10100055,1010005502,101000550201,1,2,12,1010005502011,9
1010,0055,02,02,1,5,33,1125,1025,5,,,,,,,,3448,5172,5172,333,333,10100055,1010005502,101000550202,1,2,13,1010005502021,10
1010,0092,01,01,1,1,21,1010,1401,0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,12903,17361,17361,67,0,10100092,1010009201,101000920101,3,4,21,1010009201011,11
1010,0092,01,02,1,0,21,1401,1010,2,1.0,1.0,0.0,0.0,2.0,3.0,0.0,12903,15803,15803,0,133,10100092,1010009201,101000920102,3,4,22,1010009201021,12
1010,0119,01,03,1,3,33,1015,1035,5,,,,,,,,1246,1869,1869,200,333,10100119,1010011901,101001190103,4,5,27,1010011901031,13
1010,0119,02,01,1,5,33,1015,1035,1,,,,,,,,1246,1869,1869,333,67,10100119,1010011902,101001190201,4,6,29,1010011902011,14
1010,0119,02,02,1,1,22,1030,9621,0,,,,,,,,31039,42750,24598,67,0,10100119,1010011902,101001190202,4,6,30,1010011902021,15
1010,0119,02,03,1,0,22,9621,1130,0,,,,,,,,30313,41479,24216,0,0,10100119,1010011902,101001190203,4,6,31,1010011902031,16
1010,0119,02,04,1,5,33,1135,1015,10,,,,,,,,3728,5591,5591,333,667,10100119,1010011902,101001190204,4,6,32,1010011902041,17
1010,0019,01,01,1,3,33,1025,1015,0,,,,,,,,910,1366,1366,200,0,10100019,1010001901,101000190101,5,7,33,1010001901011,18
1010,0019,01,01,2,0,33,1015,1565,10,,,,,,,,7680,11520,11520,0,667,10100019,1010001901,101000190101,5,7,33,1010001901012,19
1010,0019,01,02,1,10,33,1565,1015,0,,,,,,,,7680,11520,11520,667,0,10100019,1010001901,101000190102,5,7,34,1010001901021,20
1010,0019,01,02,2,0,33,1015,1025,3,,,,,,,,910,1366,1366,0,200,10100019,1010001901,101000190102,5,7,34,1010001901022,21
1010,0104,01,01,1,1,22,9673,9673,5,,,,,,,,1409,2537,0,67,333,10100104,1010010401,101001040101,7,10,42,1010010401011,22
1010,0104,01,02,1,5,22,9673,9673,0,,,,,,,,1409,2537,0,333,0,10100104,1010010401,101001040102,7,10,43,1010010401021,23
1010,0104,01,02,2,0,51,9673,9674,0,,,,,,,,24068,36102,0,0,0,10100104,1010010401,101001040102,7,10,43,1010010401022,24
1010,0104,01,02,3,0,51,9674,8756,5,,,,,,,,397857,596786,0,0,333,10100104,1010010401,101001040102,7,10,43,1010010401023,25
1010,0126,01,01,1,2,33,1025,1255,4,,,,,,,,4885,7327,7327,133,267,10100126,1010012601,101001260101,8,14,75,1010012601011,26
1010,0126,01,02,1,4,33,1255,1025,2,,,,,,,,4885,7327,7327,267,133,10100126,1010012601,101001260102,8,14,76,1010012601021,27
1010,0062,01,01,1,2,33,1015,1255,5,,,,,,,,4834,7251,7251,133,333,10100062,1010006201,101000620101,10,16,82,1010006201011,28
1010,0062,01,02,1,5,33,1255,1015,2,,,,,,,,4834,7251,7251,333,133,10100062,1010006201,101000620102,10,16,83,1010006201021,29
1010,0007,01,01,1,1,33,1015,1105,5,,,,,,,,3486,5229,5229,67,333,10100007,1010000701,101000070101,11,17,84,1010000701011,30
1010,0007,01,02,1,5,33,1105,1015,1,,,,,,,,3486,5229,5229,333,67,10100007,1010000701,101000070102,11,17,85,1010000701021,31
